mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
45.316300821304324,0.18965710948262776,0.003089618682861328,0.0010211415795036674,relu,0.001,"(50, 50)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 50)}",-337589.7007890455,-321065.62855106476,-399631.14965197555,-338059.5465413856,-926002.9988657223,-378110.2915520884,-384523.9601937643,-329051.55203578173,-345417.4825430044,-339808.7386950122,-409926.1049418844,173784.60923033895,1
46.25125143527985,2.77208221215667,0.0026553869247436523,0.0005081007836023064,relu,0.01,"(50, 50)","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 50)}",-339303.5499334132,-315848.098650542,-408213.87395775,-335989.13093134965,-929389.4202202794,-369284.7158318764,-393510.4391767977,-329315.8498976743,-341610.3664437044,-345814.53865598043,-410827.9983699367,175025.24648595692,2
46.701046109199524,3.824932403352361,0.002567028999328613,0.00034312822953830454,relu,0.1,"(50, 50)","{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (50, 50)}",-354775.47552984837,-324862.41367944167,-420207.7495360682,-338018.7998581625,-926101.9786379862,-371163.41371023457,-386627.52998249413,-332295.65704286296,-346475.53993157996,-341784.76923092426,-414231.3327139603,172785.1414503579,3
46.47812697887421,3.7983814482051454,0.002936434745788574,0.0012207526426497846,relu,1.0,"(50, 50)","{'activation': 'relu', 'alpha': 1.0, 'hidden_layer_sizes': (50, 50)}",-356106.64608922316,-327141.21730792144,-401216.513128129,-340437.6285689703,-905297.9863577576,-420030.8711881041,-409743.1721703303,-335231.4209274931,-346902.54836532887,-351181.56665685086,-419328.9570760109,165005.41408452977,4
46.49545600414276,3.9976684326255394,0.003541302680969238,0.002271165926472298,relu,10,"(50, 50)","{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (50, 50)}",-473794.03812494077,-321911.80869388,-403702.8258599011,-338827.8808144573,-815897.4449334433,-439904.77799557894,-403821.34798872255,-329298.65967315674,-337058.06300228095,-339923.46790715255,-420414.0314993514,140811.56675625552,5
46.38415493965149,0.3451152581190092,0.003716111183166504,0.0012027897667489082,relu,0.0001,"(50, 50)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 50)}",-345660.4671958456,-316395.07615438185,-400727.49069262424,-334212.7853642405,-1029213.0099359468,-364744.3872276296,-403136.93048937403,-330607.2761348847,-348840.049726223,-343285.5110506415,-421682.2983971791,204299.01337567155,6
38.94924700260162,5.62525543770311,0.0019222021102905274,3.4591413734306514e-05,relu,10,"(50, 20, 20)","{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (50, 20, 20)}",-628560.4938874524,-347705.3959618621,-413015.8153930285,-337455.2735906487,-706859.0439637164,-384572.96744505956,-406331.30887054483,-336322.4459783329,-323649.5385243501,-351460.55158121133,-423593.2835196207,126558.40648945233,7
41.35890519618988,2.5814930096343924,0.0024979114532470703,0.0015605010606281411,relu,0.001,"(50, 20, 20)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20, 20)}",-450372.7193244644,-354650.71163733985,-415827.3320051114,-322230.86749469023,-849590.4239162931,-472330.4971125787,-377373.8612962683,-324747.67869843286,-341714.33518856764,-334949.5871481888,-424378.8013821935,150371.58331488247,8
33.21853139400482,0.19154838393845544,0.0016597509384155273,0.00012541602521686152,relu,0.001,"(50, 20)","{'activation': 'relu', 'alpha': 0.001, 'hidden_layer_sizes': (50, 20)}",-465991.5042252131,-339905.8692483734,-432776.865790694,-360959.9128657042,-632279.4368156706,-457660.6156138214,-461456.74472442875,-388756.17139688745,-389599.150804782,-358612.1544749052,-428799.842596048,80791.89013445815,9
34.07466688156128,2.6640028109725296,0.0019751071929931642,0.0009541380338991699,relu,0.1,"(50, 20)","{'activation': 'relu', 'alpha': 0.1, 'hidden_layer_sizes': (50, 20)}",-426044.5459372354,-351293.6627940444,-413853.92197388096,-355253.7180946619,-724080.4710751869,-475404.0750481349,-458837.7507492681,-359794.3009537823,-379102.88537794945,-354898.47669185343,-429856.3808695998,107048.53758396309,10
46.69068305492401,4.762672490208379,0.00298154354095459,0.0016182417138862503,relu,100,"(50, 50)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (50, 50)}",-476854.0391145054,-327670.39741236175,-396605.1339644401,-335709.2336441882,-763052.0802028114,-624903.1120403096,-404120.83855915203,-331306.7287797474,-343910.4497421696,-347299.7722389666,-435143.17856986524,139992.79756949897,11
34.366701102256776,3.4963479245262263,0.00258328914642334,0.002729720646315182,relu,100,"(50, 20)","{'activation': 'relu', 'alpha': 100, 'hidden_layer_sizes': (50, 20)}",-487161.90580799757,-342973.55238587694,-422959.2144201508,-338878.3057640682,-831163.977851842,-461420.0811883565,-421652.0743768381,-337336.1689703421,-365581.30525855906,-351288.8888426094,-436041.5474866641,141332.9608564573,12
40.520853877067566,4.852107241537624,0.0020311355590820314,0.00015897813784286537,relu,0.01,"(50, 20, 20)","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 20, 20)}",-472415.0524408206,-358913.2420878424,-399512.7615526402,-327986.2635299728,-958079.6765493536,-473144.58806543605,-398777.0102474118,-333044.66956544813,-336912.0726516829,-318347.2619242281,-437713.2598614836,181612.2798090002,13
33.88980641365051,2.1237716004827214,0.0015961885452270507,0.0001034857181479655,relu,0.01,"(50, 20)","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (50, 20)}",-444311.7750480676,-363182.0181329394,-428412.32270075975,-356270.6790181238,-780737.6457186101,-463651.2786620841,-430801.1036949261,-373110.62817450915,-401783.7713859597,-353417.08937424165,-439567.8311910221,119682.92024814468,14
33.83040959835053,0.254969805556081,0.002168726921081543,0.00018487749146316133,relu,0.0001,"(50, 20)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (50, 20)}",-439777.45717614633,-349152.75347252836,-432429.41117276193,-357468.22450886515,-781905.1981758167,-492783.3262783169,-460196.43155477167,-357791.6066933718,-418984.15331778245,-382377.20478677406,-447286.5767137135,120500.85049326456,15
34.04505145549774,2.8064638957213868,0.0018769502639770508,0.0008367761776373019,relu,1.0,"(50, 20)","{'activation': 'relu', 'alpha': 1.0, 'hidden_layer_sizes': (50, 20)}",-452605.0868429906,-339169.3523173373,-429180.05819671066,-346974.5795280208,-952153.2251377848,-449318.92913125403,-439912.7728772557,-358361.59674877697,-365582.7459154161,-375295.9889944573,-450855.43356900045,172248.43832098824,16
29.254974579811098,1.6694594549560944,0.0013298273086547851,0.00031090537911147793,relu,0.01,"(10, 50)","{'activation': 'relu', 'alpha': 0.01, 'hidden_layer_sizes': (10, 50)}",-427766.58440245694,-363565.4701605117,-457949.87843706436,-374820.7122925174,-714705.1508899633,-656666.5736082627,-475289.29099649744,-344379.53720391385,-381709.2948192271,-394903.0719983357,-459175.55648087506,120462.80839415465,17
29.19990520477295,0.2907847304412131,0.0017886638641357421,0.0009226293439099281,relu,0.0001,"(10, 50)","{'activation': 'relu', 'alpha': 0.0001, 'hidden_layer_sizes': (10, 50)}",-423953.0848025914,-364425.7755992656,-445774.202760772,-363370.0673150782,-857303.752155207,-589600.0167166276,-477303.34457098786,-365584.1247503904,-395524.4466487169,-379544.2275107003,-466238.3042830337,146312.94973733893,18
29.499310779571534,2.473247082535119,0.0011270999908447265,5.719263671947934e-06,relu,1.0,"(10, 50)","{'activation': 'relu', 'alpha': 1.0, 'hidden_layer_sizes': (10, 50)}",-443847.6582665542,-368364.00844661536,-460793.3291668289,-367185.05858385534,-788337.4745618891,-626645.0100980557,-485447.32611991285,-349825.22990450356,-397053.99975734635,-386889.1644125097,-467438.82593180717,132056.59040412036,19
33.91547257900238,2.804063445387597,0.0018609523773193359,0.0009108969711189963,relu,10,"(50, 20)","{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (50, 20)}",-452944.5690535665,-356881.14491103234,-414105.91862392623,-346820.6204051671,-1100933.932279714,-486864.6472042594,-450289.2094567632,-346643.81901160214,-360255.71288220724,-365353.3730378256,-468109.2946866063,216404.79530142836,20
29.36296639442444,2.2300917819943233,0.001383352279663086,0.0007506692149698048,relu,10,"(10, 50)","{'activation': 'relu', 'alpha': 10, 'hidden_layer_sizes': (10, 50)}",-450562.1608566322,-352384.8837435957,-460083.1481759656,-367224.9692986851,-786580.717086729,-708465.450866317,-462983.0903020346,-350956.73175237037,-380389.679982706,-390335.1413557131,-470996.59734207485,145102.86749989842,21
